Date,Day of Week,Weekend,Holiday,Internal Events,Offline Job Count,Network Down,Employees Count,Social Media Count,Guest Count,Mobile Usage Count,Total Swipe Hours,total_usage
2015-02-11,3,0,0,0,115,4,1047,503,4,132,8511.2954715419,9637.370244452533
2015-02-12,4,0,0,0,104,5,1196,580,0,144,9689.8883521288,9862.615613544178
2015-02-13,5,0,0,0,87,4,1157,611,4,128,9402.5059387109,10676.242639018059
2015-02-14,6,1,1,0,19,1,47,16,0,0,380.78992688129995,549.3318698642731
2015-02-15,7,1,1,0,27,0,32,13,0,0,259.2612268128,430.1241694353141
2015-02-16,1,0,0,0,98,5,1060,564,4,100,8616.6203449346,8810.154261079195
2015-02-17,2,0,1,0,22,0,5,0,0,0,40.5095666895,89.6323476882489
2015-02-18,3,0,0,0,119,5,1066,505,0,91,8636.6396182018,8700.346498124212
2015-02-19,4,0,1,0,32,1,0,0,0,0,0.0,49.48733259471359
2015-02-20,5,0,0,0,81,1,1053,639,6,101,8574.2030549494,12763.291905046997
2015-02-21,6,1,1,0,21,1,35,16,0,0,283.5669668265,429.8741814586264
2015-02-22,7,1,1,0,32,0,23,11,0,0,186.34400677169998,332.7640717433526
2015-02-23,1,0,0,0,105,2,1024,621,3,105,8317.8034130801,11531.357240425585
2015-02-24,2,0,0,0,103,4,1024,631,2,128,8310.6553613901,9750.502977167329
2015-02-25,3,0,0,0,101,1,1078,610,4,127,8762.4547850168,13042.451275600528
2015-02-26,4,0,0,0,90,2,1143,607,3,81,9281.9311002903,12515.325872212747
2015-02-27,5,0,0,0,86,0,1185,623,1,151,9607.915357102,15279.53287867274
2015-02-28,6,1,1,0,28,1,43,18,0,0,348.3822735297,527.3948082492598
2015-03-01,7,1,1,0,35,1,20,18,0,0,162.038266758,303.33142275978884
2015-03-02,1,0,0,0,107,0,1183,538,2,128,9598.8595821162,15017.753375381937
2015-03-03,2,0,0,0,110,5,1193,697,2,116,9679.8787154952,10073.614748201613
2015-03-04,3,0,0,0,101,4,1153,634,6,113,9384.3943887394,10689.821885127418
2015-03-05,4,0,1,0,20,0,4,0,0,0,32.4076533516,75.41742809520264
2015-03-06,5,0,1,0,34,0,3,0,0,0,24.3057400137,85.94617479951319
2015-03-07,6,1,1,0,21,0,35,10,0,0,283.5669668265,446.7189160059419
2015-03-08,7,1,1,0,16,0,35,12,0,0,283.5669668265,443.9813619450135
2015-03-09,1,0,0,0,107,5,1065,627,7,109,8678.5740666942,9046.162430348564
2015-03-10,2,0,0,0,92,2,1064,515,1,82,8627.583843216,11551.39793694461
2015-03-11,3,0,0,0,111,2,1048,607,2,155,8505.1012814997,11861.74142154221
2015-03-12,4,0,0,0,115,0,1104,540,4,126,8973.104531802199,14156.08868272675
2015-03-13,5,0,0,0,91,5,1194,576,2,163,9687.9806288331,9875.802058721407
2015-03-14,6,1,1,0,31,0,28,11,0,0,226.8535734612,386.8273991291511
2015-03-15,7,1,1,0,19,1,59,17,0,0,478.0128869361,674.3799373855874
2015-03-16,1,0,0,0,81,5,1051,661,2,126,8529.4070215134,9032.280762347613
2015-03-17,2,0,0,0,93,3,1131,541,5,83,9199.0042436156,11225.385686824857
2015-03-18,3,0,0,0,96,1,1015,638,1,89,8230.590089658901,12350.903174157596
2015-03-19,4,0,0,0,82,2,1053,675,3,114,8552.7588998792,11924.794462724152
2015-03-20,5,0,0,0,80,0,1135,654,0,130,9195.6716385169,14732.241536225414
2015-03-21,6,1,1,0,32,0,28,11,0,0,226.8535734612,388.37387827273596
2015-03-22,7,1,1,0,25,1,31,11,0,0,251.15931347490002,382.72277832620455
2015-03-23,1,0,0,0,99,4,1087,678,0,100,8806.7797982977,10252.424257398738
2015-03-24,2,0,0,0,103,0,1112,628,5,98,9045.0678901954,14373.018634058411
2015-03-25,3,0,0,0,101,0,1061,603,2,130,8610.4261548924,13819.33963506708
2015-03-26,4,0,0,0,91,2,1068,527,3,153,8674.2875999477,11814.17685976195
2015-03-27,5,0,0,0,90,2,1011,671,5,90,8226.7746430675,11476.51537613562
2015-03-28,6,1,1,0,17,0,22,16,0,0,178.24209343380002,310.9320274261929
2015-03-29,7,1,1,0,16,0,46,12,0,0,372.68801354339996,566.3229363096568
2015-03-30,1,0,0,0,91,5,1090,659,7,146,8881.121900141701,9365.832446567043
2015-03-31,2,0,0,0,92,1,1148,619,4,111,9329.5887186698,13722.592043049532
2015-04-01,3,0,0,0,109,0,1126,696,3,138,9144.1985735459,14811.055148050344
2015-04-02,4,0,1,0,32,0,5,0,0,0,40.5095666895,105.0971391240969
2015-04-03,5,0,1,0,22,1,3,0,0,0,24.3057400137,64.66020283206967
2015-04-04,6,1,1,0,15,1,22,12,0,0,178.24209343380002,277.84242269924215
2015-04-05,7,1,1,0,22,0,46,11,0,0,372.68801354339996,573.1043903426678
2015-04-06,1,0,0,0,96,2,1046,528,0,107,8474.6013514438,11487.73662000002
2015-04-07,2,0,0,0,89,4,1170,670,6,113,9522.1269154837,10888.404923223237
2015-04-08,3,0,0,1,101,3,1100,587,4,138,8940.6968784506,5730.471065159688
2015-04-09,4,0,0,0,95,0,1056,580,4,94,8584.212691583001,13604.60883013293
2015-04-10,5,0,0,0,105,4,1140,636,3,89,9257.625360276501,10531.238158245475
2015-04-11,6,1,1,0,29,1,32,20,0,0,259.2612268128,421.59803624809194
2015-04-12,7,1,1,0,22,1,28,11,0,0,226.8535734612,347.4456792222461
2015-04-13,1,0,0,0,82,5,1180,618,3,124,9581.7018937926,9771.699129618382
2015-04-14,2,0,1,0,15,0,1,0,0,0,8.1019133379,34.31914845964865
2015-04-15,3,0,1,0,15,1,4,0,0,0,32.4076533516,64.0474027180441
2015-04-16,4,0,0,0,116,2,1089,617,0,158,8822.9836249735,12278.979485373975
2015-04-17,5,0,0,0,97,4,1147,645,5,139,9328.634857022,10734.05057007559
2015-04-18,6,1,1,0,16,0,58,12,0,0,469.9109735982,699.7864719801768
2015-04-19,7,1,1,0,35,0,58,16,0,0,469.9109735982,739.1592590222791
2015-04-20,1,0,0,0,94,3,1107,620,0,130,8968.818065055699,11337.42299492265
2015-04-21,2,0,0,0,85,4,1045,505,2,105,8480.795541485999,9502.923602642222
2015-04-22,3,0,0,0,105,2,1112,508,1,125,9016.475683435201,12116.93054111399
2015-04-23,4,0,0,0,111,5,1002,668,3,128,8139.5613196463,8781.905672963367
2015-04-24,5,0,0,0,81,2,1186,518,3,136,9630.31337382,12828.00405497263
2015-04-25,6,1,1,0,28,1,24,11,0,0,194.4459201096,315.8743385194828
2015-04-26,7,1,1,0,17,1,38,20,0,0,307.8727068402,464.31560987148254
2015-04-27,1,0,0,0,99,1,1126,519,4,85,9151.346625236,13188.642348455134
2015-04-28,2,0,0,0,85,4,1097,682,5,81,8923.5391901269,10276.73106834872
2015-04-29,3,0,0,1,110,0,1087,654,4,148,8835.3720050579,8860.333767226126
2015-04-30,4,0,0,0,115,5,1173,596,4,145,9532.1365521173,9781.09966148231
2015-05-01,5,0,1,0,28,1,0,0,0,0,0.0,43.30141602037439
2015-05-02,6,1,1,0,23,0,32,19,0,0,259.2612268128,438.9227778319617
2015-05-03,7,1,1,0,34,1,52,11,0,0,421.2994935708,611.1047223308963
2015-05-04,1,0,1,0,26,1,0,0,0,0,0.0,40.20845773320479
2015-05-05,2,0,0,0,84,4,1056,610,4,112,8584.212691583001,9869.891804357974
2015-05-06,3,0,0,0,117,2,1138,656,7,167,9270.013740361,12875.688549217542
2015-05-07,4,0,0,0,110,3,1049,663,7,101,8548.9434532878,10921.798746119433
2015-05-08,5,0,0,0,114,1,1106,508,1,146,8967.8642034078,13137.661205445143
2015-05-09,6,1,1,0,32,0,46,13,0,0,372.68801354339996,593.5640234355114
2015-05-10,7,1,1,0,29,1,20,15,0,0,162.038266758,286.5602854127867
2015-05-11,1,0,0,0,103,0,1129,596,3,93,9168.504313559599,14463.628724003625
2015-05-12,2,0,0,0,90,1,1127,700,6,165,9173.744641954001,13858.467796176568
2015-05-13,3,0,0,0,113,4,1105,629,7,150,9002.6506002103,10439.275539734515
2015-05-14,4,0,0,0,108,0,1115,602,2,119,9047.929475139,14398.487148699154
2015-05-15,5,0,0,1,115,1,1180,586,2,139,9574.5538421025,8164.412771626128
2015-05-16,6,1,1,0,20,1,35,20,0,0,283.5669668265,438.31738562903274
2015-05-17,7,1,1,0,31,0,43,11,0,0,348.3822735297,553.656818717301
2015-05-18,1,0,0,0,103,5,1155,578,5,116,9393.4501637252,9523.272648367567
2015-05-19,2,0,0,0,81,3,1071,644,5,162,8712.8894433415,11174.214309194325
2015-05-20,3,0,0,0,89,0,1029,518,2,133,8351.1649280796,13240.716443150564
2015-05-21,4,0,0,0,101,3,1082,662,3,98,8787.714386678299,11164.227040580394
2015-05-22,5,0,0,0,110,4,1119,698,3,124,9087.4851801806,10631.350730947604
2015-05-23,6,1,1,0,33,1,48,17,0,0,388.8918402192,583.6925525940262
2015-05-24,7,1,1,0,23,1,36,10,0,0,291.6688801644,428.1951686658773
2015-05-25,1,0,0,0,84,4,1046,567,6,117,8517.4896615841,9706.20517800891
2015-05-26,2,0,0,0,97,1,1086,691,6,119,8841.5661951001,13303.624272932706
2015-05-27,3,0,0,0,111,1,1126,598,0,160,9122.754418475799,13597.41732262196
2015-05-28,4,0,0,0,99,2,1189,572,3,126,9654.6191138337,12991.55054366858
2015-05-29,5,0,0,0,80,4,1006,693,1,109,8157.672869617801,9681.133690628014
2015-05-30,6,1,1,0,20,0,53,15,0,0,429.40140690870004,657.8548445106261
2015-05-31,7,1,1,0,28,1,21,19,0,0,170.1401800959,305.2160434742611
2015-06-01,1,0,0,1,80,3,1029,652,7,115,8386.9051865298,5565.191453574101
2015-06-02,2,0,0,0,90,5,1200,647,3,86,9743.7401605506,9885.165511216472
2015-06-03,3,0,0,0,83,5,1116,521,5,101,9077.475543547,9052.97758314564
2015-06-04,4,0,0,0,82,4,1135,568,0,91,9195.6716385169,10286.311469811248
2015-06-05,5,0,0,0,114,4,1025,644,6,138,8347.3494814882,9844.556621649395
2015-06-06,6,1,1,0,15,1,43,11,0,0,348.3822735297,489.80863358317276
2015-06-07,7,1,1,0,25,1,52,15,0,0,421.2994935708,607.1760933526243
2015-06-08,1,0,0,0,101,5,1179,622,6,93,9595.0441355248,9728.133515826285
2015-06-09,2,0,0,0,109,2,1016,659,1,167,8238.6920029968,11720.778201306786
2015-06-10,3,0,0,0,85,2,1047,695,0,148,8482.7032647817,12008.045004486545
2015-06-11,4,0,0,0,108,4,1064,644,4,168,8649.0279982862,10203.331945460994
2015-06-12,5,0,0,0,116,0,1077,669,7,154,8775.797026749,14262.8017872173
2015-06-13,6,1,1,0,31,0,51,17,0,0,413.1975802329,657.6170341353011
2015-06-14,7,1,1,0,26,0,50,20,0,0,405.095666895,646.2549395969938
2015-06-15,1,0,0,0,102,1,1198,636,4,134,9734.6843855648,14353.379373252581
2015-06-16,2,0,0,0,106,3,1118,569,3,136,9079.3832668427,11344.703045673945
2015-06-17,3,0,0,0,82,5,1162,692,0,168,9414.4232986402,9949.701501429692
2015-06-18,4,0,0,0,112,0,1009,618,3,161,8196.2747130116,13381.864978200041
2015-06-19,5,0,0,0,91,2,1067,586,1,117,8651.8895832297,11849.78882624997
2015-06-20,6,1,1,0,29,1,39,17,0,0,315.9746201781,485.5936510000747
2015-06-21,7,1,1,0,15,1,23,16,0,0,186.34400677169998,298.04465990430134
2015-06-22,1,0,0,0,98,5,1076,601,7,135,8767.6951134111,9109.992123211738
2015-06-23,2,0,0,0,98,0,1078,552,0,119,8733.8625782566,13841.623111806337
2015-06-24,3,0,0,0,115,3,1049,525,0,160,8498.9070914575,10726.988112835204
2015-06-25,4,0,0,0,102,1,1174,545,0,147,9511.646258695,13906.159903117472
2015-06-26,5,0,0,0,116,2,1069,653,4,133,8689.537564975699,12125.2042269634
2015-06-27,6,1,1,0,19,1,57,16,0,0,461.8090602603,651.4574087749534
2015-06-28,7,1,1,0,33,1,58,20,0,0,469.9109735982,693.3103539901998
2015-06-29,1,0,0,0,88,0,1128,513,5,82,9174.6985036019,14197.272952431442
2015-06-30,2,0,0,0,88,4,1093,651,7,162,8905.4276401554,10398.217199679626
2015-07-01,3,0,0,0,120,5,1136,673,2,105,9218.0696552349,9624.604428477143
2015-07-02,4,0,0,0,105,5,1191,673,7,148,9699.4151472697,10091.92645360263
2015-07-03,5,0,0,0,99,2,1153,559,2,164,9355.802181979201,12724.492122109146
2015-07-04,6,1,1,0,25,1,55,11,0,0,445.60523358449996,627.8240717118371
2015-07-05,7,1,1,0,26,0,53,12,0,0,429.40140690870004,659.6414568866415
2015-07-06,1,0,0,0,103,0,1164,609,0,101,9430.627125316,14899.488626952809
2015-07-07,2,0,0,0,96,2,1105,507,2,87,8966.91034176,11935.071460303041
2015-07-08,3,0,0,0,117,1,1069,577,5,157,8696.6856166657,12976.555787563871
2015-07-09,4,0,0,0,107,5,1173,536,4,86,9532.1365521173,9459.226808291978
2015-07-10,5,0,0,0,92,0,1053,566,7,103,8581.3511066394,13563.517340808152
2015-07-11,6,1,1,0,32,1,46,16,0,0,372.68801354339996,559.2235448398076
2015-07-12,7,1,1,0,29,0,38,11,0,0,307.8727068402,494.95405390074814
2015-07-13,1,0,0,0,100,3,1025,581,6,113,8347.3494814882,10530.06025148211
2015-07-14,2,0,0,0,112,2,1115,595,3,122,9055.077526829,12369.838492324941
2015-07-15,3,0,0,0,106,5,1035,695,0,121,8385.4803047269,9032.110475654063
2015-07-16,4,0,0,0,92,5,1187,523,3,133,9638.4152871579,9620.28768202039
2015-07-17,5,0,1,0,30,1,1,0,0,0,8.1019133379,56.60692819861201
2015-07-18,6,1,1,0,35,0,41,15,0,0,332.17844685389997,547.5884959938782
2015-07-19,7,1,1,0,28,1,49,11,0,0,396.9937535571,571.1881857961833
2015-07-20,1,0,0,0,84,4,1034,600,1,146,8384.526443079,9764.74386646611
2015-07-21,2,0,0,0,96,1,1160,587,6,163,9441.1077821047,13917.140335811822
2015-07-22,3,0,0,0,96,4,1043,678,2,132,8464.5917148102,10010.082823410326
2015-07-23,4,0,0,0,97,3,1168,583,7,162,9513.071140498001,11865.823629628681
2015-07-24,5,0,0,0,117,5,1003,663,4,141,8154.811284674301,8822.958575844648
2015-07-25,6,1,1,0,25,1,54,17,0,0,437.5033202466,632.5960427917558
2015-07-26,7,1,1,0,35,1,45,13,0,0,364.58610020550003,546.1581658940005
2015-07-27,1,0,0,1,82,0,1081,594,5,161,8793.9085767205,8668.186736506352
2015-07-28,2,0,0,0,94,5,1118,657,4,80,9086.5313185328,9363.453486889024
2015-07-29,3,0,0,0,88,2,1159,522,3,132,9411.561713696701,12586.810017410216
2015-07-30,4,0,0,0,117,5,1190,587,5,113,9677.0171305517,9789.404401931537
2015-07-31,5,0,1,1,17,1,4,0,0,0,32.4076533516,47.11023106168007
2015-08-01,6,1,1,0,27,0,58,16,0,0,469.9109735982,726.7874258736007
2015-08-02,7,1,1,0,22,0,54,20,0,0,437.5033202466,684.5568682461612
2015-08-03,1,0,0,0,113,3,1051,570,7,137,8565.1472799636,10808.382604825243
2015-08-04,2,0,0,0,114,4,1113,544,4,109,9046.0217518433,10169.945217826396
2015-08-05,3,0,0,0,88,3,1185,687,2,129,9615.063408791999,12152.492568072672
2015-08-06,4,0,0,0,116,0,1131,591,0,119,9163.2639851653,14556.323097913742
2015-08-07,5,0,0,0,83,1,1184,539,0,143,9592.665392074001,13953.09369330656
2015-08-08,6,1,1,0,29,1,37,20,0,0,299.7707935023,472.6608057034321
2015-08-09,7,1,1,0,23,0,22,12,0,0,178.24209343380002,310.2212189737105
2015-08-10,1,0,0,0,91,4,1086,600,2,150,8812.9739883399,10178.086403976407
2015-08-11,2,0,0,0,97,3,1078,562,5,160,8769.602836706801,11047.513580973771
2015-08-12,3,0,0,0,111,5,1126,672,0,106,9122.754418475799,9540.129847329028
2015-08-13,4,0,0,0,82,0,1085,645,7,80,8840.6123334522,14039.01286648234
2015-08-14,5,0,0,0,106,1,1054,505,2,144,8553.7127615271,12583.840065321509
2015-08-15,6,1,1,0,35,1,29,14,0,0,234.9554867991,385.2547244654099
2015-08-16,7,1,1,0,26,1,39,12,0,0,315.9746201781,468.46710942683137
2015-08-17,1,0,0,0,111,5,1038,609,5,134,8445.5263031908,8892.506932176382
2015-08-18,2,0,1,0,23,1,2,0,0,0,16.2038266758,55.99412808458644
2015-08-19,3,0,0,0,116,4,1036,671,5,128,8429.322476515,9967.839472505511
2015-08-20,4,0,0,0,81,5,1172,559,3,94,9516.886587089399,9489.024527570054
2015-08-21,5,0,0,0,114,3,1045,673,1,128,8473.6474897959,10977.399817740858
2015-08-22,6,1,1,0,21,0,25,11,0,0,202.5478334475,337.9967237756731
2015-08-23,7,1,1,0,21,1,20,11,0,0,162.038266758,264.1987689501171
2015-08-24,1,0,0,0,113,3,1102,640,2,98,8942.6046017463,11293.208495448154
2015-08-25,2,0,0,0,102,5,1105,618,7,109,9002.6506002103,9278.950216447496
2015-08-26,3,0,0,0,116,1,1042,643,7,123,8492.2300599225,12777.110743565743
2015-08-27,4,0,0,0,103,0,1084,681,3,164,8803.9182133541,14367.54936606076
2015-08-28,5,0,1,0,15,1,5,0,0,0,40.5095666895,74.25995660911212
2015-08-29,6,1,1,0,31,0,49,16,0,0,396.9937535571,632.8756906950499
2015-08-30,7,1,1,0,19,0,55,20,0,0,445.60523358449996,691.0393921212835
2015-08-31,1,0,0,0,114,2,1087,649,6,110,8849.668108438,12222.355167520209
2015-09-01,2,0,0,0,81,0,1007,691,3,150,8180.0708863357995,13464.225592555642
2015-09-02,3,0,0,0,82,5,1104,606,3,125,8965.9564801121,9244.741868062689
2015-09-03,4,0,0,0,92,1,1038,516,2,121,8424.0821481207,12364.021434038368
2015-09-04,5,0,0,0,107,5,1025,695,6,130,8347.3494814882,9007.308889673848
2015-09-05,6,1,1,0,32,1,40,12,0,0,324.076533516,487.9585381794081
2015-09-06,7,1,1,0,21,1,35,13,0,0,283.5669668265,422.381918973133
2015-09-07,1,0,0,0,93,4,1044,577,5,111,8494.137783218199,9711.385037401804
2015-09-08,2,0,0,0,117,1,1054,542,4,136,8568.0088649072,12676.623302225013
2015-09-09,3,0,0,0,91,5,1072,695,5,132,8720.9913566794,9294.490904426588
2015-09-10,4,0,0,0,118,3,1107,653,0,126,8968.818065055699,11446.129261686621
2015-09-11,5,0,0,0,80,2,1068,619,6,108,8695.7317550179,11912.680408723216
2015-09-12,6,1,1,0,19,0,41,14,0,0,332.17844685389997,520.3474088680235
2015-09-13,7,1,1,0,20,0,39,14,0,0,315.9746201781,499.649965399855
2015-09-14,1,0,0,0,108,5,1180,696,6,153,9603.1460488627,10092.704735709462
2015-09-15,2,0,0,0,118,3,1150,679,0,112,9317.2003385854,11834.108562791214
2015-09-16,3,0,0,0,107,0,1061,636,4,90,8624.7222582725,13807.807832758714
2015-09-17,4,0,1,0,20,0,2,0,0,0,16.2038266758,53.17350548344932
2015-09-18,5,0,0,0,105,5,1181,535,0,168,9568.3596520603,9718.099012062823
2015-09-19,6,1,1,0,28,1,40,13,0,0,324.076533516,484.27004243356674
2015-09-20,7,1,1,0,23,0,31,17,0,0,251.15931347490002,422.8059748690894
2015-09-21,1,0,0,0,112,2,1033,669,5,139,8405.0167365013,11842.80776839075
2015-09-22,2,0,0,0,120,0,1102,620,5,110,8964.0487568164,14300.582159880083
2015-09-23,3,0,1,0,15,1,1,0,0,0,8.1019133379,33.40974104484002
2015-09-24,4,0,0,0,115,0,1170,697,1,165,9486.3866570335,15380.244915636116
2015-09-25,5,0,1,0,26,1,5,0,0,0,40.5095666895,91.27122718854491
2015-09-26,6,1,1,0,18,0,31,19,0,0,251.15931347490002,420.0684208081611
2015-09-27,7,1,1,0,16,0,44,20,0,0,356.48418686760004,564.0583803258858
2015-09-28,1,0,0,0,97,5,1195,688,4,158,9710.3786455511,10162.852476293023
2015-09-29,2,0,0,0,109,3,1126,697,1,109,9129.9024701658,11658.083815777543
2015-09-30,3,0,0,0,86,0,1095,577,4,159,8900.1873117611,14192.846696649895
2015-10-01,4,0,0,1,85,2,1004,559,4,154,8162.9131980122,6267.065308967775
2015-10-02,5,0,1,0,17,0,2,0,0,0,16.2038266758,48.53406805269492
2015-10-03,6,1,1,0,28,0,34,10,0,0,275.4650534886,446.4223087051589
2015-10-04,7,1,1,0,21,0,50,20,0,0,405.095666895,638.5225438790699
2015-10-05,1,0,0,0,93,3,1142,611,0,141,9252.3850318822,11636.946925535223
2015-10-06,2,0,0,0,106,3,1048,544,4,95,8519.3973848798,10586.2663782867
2015-10-07,3,0,0,0,106,3,1134,548,7,86,9237.606087009399,11301.28680440681
2015-10-08,4,0,0,0,91,1,1037,681,4,138,8430.276338162901,12815.354983516092
2015-10-09,5,0,0,0,119,4,1172,695,4,97,9524.0346387794,10963.89136573189
2015-10-10,6,1,1,0,29,1,36,14,0,0,291.6688801644,447.4637268413773
2015-10-11,7,1,1,0,25,0,24,10,0,0,194.4459201096,330.56325821563786
2015-10-12,1,0,0,0,93,3,1176,695,1,143,9534.9981370609,12140.03728108693
2015-10-13,2,0,0,0,88,0,1070,596,2,163,8683.3433749335,13971.15010233946
2015-10-14,3,0,0,0,95,5,1014,571,6,81,8258.2284347713,8474.15132039138
2015-10-15,4,0,0,0,93,2,1149,505,2,96,9323.3945286276,12359.129896221317
2015-10-16,5,0,0,0,97,4,1125,640,6,163,9157.5408152782,10624.360707699261
2015-10-17,6,1,1,0,19,0,30,10,0,0,243.057400137,388.016151189389
2015-10-18,7,1,1,0,24,1,33,15,0,0,267.3631401507,411.591090278747
2015-10-19,1,0,0,0,113,5,1102,541,6,97,8971.1968085065,9048.955132612296
2015-10-20,2,0,1,0,26,1,3,0,0,0,24.3057400137,70.84611940640887
2015-10-21,3,0,1,0,33,0,5,0,0,0,40.5095666895,106.64361826768169
2015-10-22,4,0,1,0,23,0,5,0,0,0,40.5095666895,91.1788268318337
2015-10-23,5,0,0,0,82,4,1137,549,7,130,9261.911827023101,10376.91903258364
2015-10-24,6,1,1,0,21,0,34,20,0,0,275.4650534886,460.57116298504326
2015-10-25,7,1,1,0,33,1,27,17,0,0,218.7516601233,369.22892088159756
2015-10-26,1,0,0,0,95,2,1000,689,0,123,8101.913337900301,11503.626636426623
2015-10-27,2,0,1,0,32,1,4,0,0,0,32.4076533516,90.33754815898568
2015-10-28,3,0,0,0,83,1,1019,699,1,99,8262.997743010501,12551.05213144987
2015-10-29,4,0,0,0,109,5,1079,622,6,92,8784.8528017348,9080.306895785992
2015-10-30,5,0,1,0,28,0,3,0,0,0,24.3057400137,76.66729993800438
2015-10-31,6,1,1,0,15,1,26,18,0,0,210.6497467854,333.677163234501
2015-11-01,7,1,1,0,26,0,60,15,0,0,486.114800274,744.9874485132714
2015-11-02,1,0,0,0,100,1,1038,556,0,131,8409.7860447406,12498.33476466855
2015-11-03,2,0,0,0,98,0,1056,632,2,111,8569.916588202901,13780.101025026528
2015-11-04,3,0,0,0,102,4,1122,573,3,80,9111.7909201943,10210.18896892919
2015-11-05,4,0,0,0,102,0,1042,619,5,127,8477.9339565424,13648.932946210061
2015-11-06,5,0,0,0,94,3,1180,615,4,119,9588.8499454826,11917.94378363349
2015-11-07,6,1,1,0,32,0,47,10,0,0,380.78992688129995,597.1937222558947
2015-11-08,7,1,1,0,30,0,55,19,0,0,445.60523358449996,705.5532418722185
2015-11-09,1,0,0,0,101,0,1121,513,6,155,9125.1331619266,14339.571460424748
2015-11-10,2,0,1,0,24,0,2,0,0,0,16.2038266758,59.35942205778852
2015-11-11,3,0,1,0,21,1,3,0,0,0,24.3057400137,63.11372368848488
2015-11-12,4,0,1,0,15,1,3,0,0,0,24.3057400137,53.83484882697607
2015-11-13,5,0,1,0,25,0,1,0,0,0,8.1019133379,49.78393989549665
2015-11-14,6,1,1,0,21,1,34,17,0,0,275.4650534886,422.1590483960562
2015-11-15,7,1,1,0,29,1,43,13,0,0,348.3822735297,516.4541832503555
2015-11-16,1,0,0,0,110,5,1027,617,0,124,8320.6649980237,8799.016263767777
